ds_voxel_size: 0.000000
ds_voxel_size_lc: 0.020000
use_cloud_scale_for_ds: 0
cloud_scale_previuos_cloud_weight: 0.900000
ds_lc_voxel_size_ratio: 2.000000
points_per_cloud_scale: 25
keyframe_threshold_length: 0.005000
keyframe_threshold_angle: 5.000000
keyframe_threshold_fitness: 0.500000
keyframe_threshold_index: 0
scan_matching_method: 0
icp_max_iterations: 25
icp_max_coarse_iterations: 0
icp_max_correspondence_distance: 0.500000
coarse_correspondence_factor: 10
local_map_width: 100
local_map_init_frames_count: 1
imu_topic:/imu/data
use_ins_guess: 0
use_preint_imu_guess: 0
use_lidar_odometry_guess: 0
use_preint_undistortion: 1
sync_offset_ms: 0.000000
translation_std_min_x: 0.010000
translation_std_min_y: 0.010000
translation_std_min_z: 0.010000
gamma_1: 10.000000
gamma_2: 0.500000
gamma_3: 10.000000
gamma_4: 40.000000
gamma_5: 0.500000
time, x, y, z, vx, vy, vz, obs_vx, obs_vy, obs_vz, qw, qx, qy, qz, fitness, residual_x, residual_y, residual_z, residual_qw, residual_qx, residual_qy, residual_qz, cov_x, cov_y, cov_z, bias_acc_x, bias_acc_y, bias_acc_z, bias_ang_x, bias_ang_y, bias_ang_z
1676922100.599217,0.017638,0.002298,-0.002345,0.176778,0.023026,-0.023505,0.105673,0.000578,-0.009892,0.999849,-0.017280,-0.001649,-0.000570,0.019820,0.016113,0.002895,-0.002654,0.999836,-0.018038,-0.000405,-0.001339,0.000311,0.000100,0.000100,-0.000803,-0.000155,0.000128,0.000900,0.000020,0.000067
1676922100.699057,0.022914,-0.015962,0.003992,0.053270,-0.184997,0.056968,0.097628,-0.056084,0.015280,0.999813,-0.019314,0.000163,0.001140,0.023293,-0.006057,-0.019404,0.006702,0.999997,-0.001689,0.000984,0.001615,0.000100,0.000385,0.000100,0.000311,0.000969,-0.000324,0.000084,-0.000049,-0.000081
1676922100.798897,0.048189,-0.013894,-0.002639,0.261942,0.023465,-0.067748,0.157305,-0.039801,-0.002528,0.999908,-0.013506,0.000649,0.001261,0.015071,0.015183,0.008812,-0.008400,0.999983,0.005820,-0.000670,0.000120,0.000311,0.000100,0.000100,-0.000734,-0.000416,0.000413,-0.000281,0.000032,-0.000006
1676922100.898737,0.076272,-0.026009,-0.004806,0.281209,-0.121526,-0.024633,0.200974,-0.077077,-0.012042,0.999988,-0.003315,0.000457,0.003475,0.004569,0.012983,-0.008977,-0.001118,0.999944,0.010478,-0.000517,0.001353,0.000143,0.000100,0.000100,-0.000644,0.000456,0.000038,-0.000523,0.000026,-0.000068
1676922100.998554,0.089633,0.010057,-0.002127,0.136372,0.360290,0.029359,0.169646,0.104408,-0.000824,0.999992,-0.003343,0.001822,0.000945,0.004306,-0.006228,0.043039,0.004683,0.999995,0.000183,0.000488,-0.003143,0.000100,0.002061,0.000100,0.000334,-0.002144,-0.000232,-0.000009,-0.000024,0.000157
1676922101.098394,0.116236,-0.013839,-0.000250,0.263542,-0.237814,0.018008,0.198079,-0.019773,0.000514,0.999961,-0.008089,0.001760,0.003227,0.001970,0.010716,-0.034291,0.000857,0.999988,-0.004564,-0.000318,0.001675,0.000100,0.001066,0.000100,-0.000524,0.001733,-0.000010,0.000230,0.000016,-0.000084
1676922101.199194,0.128353,0.005746,0.000584,0.122649,0.195311,0.011954,0.171306,0.065689,-0.001215,0.999967,-0.007105,0.000990,0.003748,0.001485,-0.006870,0.022716,-0.001005,0.999999,0.000922,0.000502,-0.000558,0.000110,0.000382,0.000100,0.000341,-0.001134,0.000054,-0.000046,-0.000025,0.000028
1676922101.299034,0.158340,-0.007515,-0.001103,0.304603,-0.137166,-0.018524,0.217155,-0.002144,0.002607,0.999937,-0.009962,-0.000334,0.005190,0.002060,0.013465,-0.020111,-0.003480,0.999996,-0.002534,-0.000872,0.000771,0.000154,0.000574,0.000100,-0.000654,0.000989,0.000185,0.000124,0.000043,-0.000038
1676922101.398874,0.179132,-0.006311,0.001500,0.209490,0.009420,0.026290,0.208999,-0.001120,0.028798,0.999904,-0.012284,0.000757,0.006398,0.002113,-0.000704,0.001940,0.002091,0.999998,-0.001735,0.000376,0.000533,0.000100,0.000100,0.000100,0.000035,-0.000096,-0.000105,0.000086,-0.000019,-0.000026
1676922101.498714,0.204637,-0.003930,0.000765,0.255892,0.020761,-0.006439,0.221705,-0.003177,0.042023,0.999890,-0.012840,0.000555,0.007356,0.001369,0.004801,0.003089,-0.002409,1.000000,-0.000416,-0.000423,0.000084,0.000100,0.000100,0.000100,-0.000240,-0.000153,0.000120,0.000021,0.000021,-0.000004
